STEM_1,STEM_2,STEM_3,STEM_4,STEM_5,STEM_6,STEM_7,STEM_8,STEM_9,AH_1,AH_2,AH_3,AH_4,AH_5,AH_6,AH_7,AH_8,AH_9,Books_STEM,Books_AH,OLD_STEM,OLD_AH
4,4,3,3,4,4,2,3,2,3,3,2,2,5,5,2,2,1,0,1,118,90
3,4,5,3,3,2,3,2,2,3,4,5,3,3,2,3,2,2,2,1,98,99
3,3,3,2,2,2,2,2,2,2,2,2,2,3,1,2,2,1,0,0,90,87
3,4,3,2,3,3,3,3,4,3,3,3,1,2,4,3,2,3,0,0,117,98
2,4,2,3,2,3,2,2,2,2,5,2,3,3,4,2,2,2,-0,-0,96,93
5,4,3,4,3,4,3,1,3,4,3,3,3,2,3,2,1,2,2,-0,138,114
2,2,1,1,2,1,2,2,1,2,1,2,1,3,1,2,2,1,-0,1,87,79
5,2,2,3,3,2,2,3,2,4,1,2,2,3,2,2,2,2,-0,-0,97,113
5,4,4,5,5,4,4,5,3,4,3,3,4,5,3,3,3,2,0,0,133,114
4,4,3,3,4,3,4,1,3,5,5,4,5,5,3,5,2,4,1,1,118,118
3,3,1,3,2,2,3,3,2,3,2,2,2,1,1,2,2,2,0,0,107,94
4,2,3,2,3,2,2,3,2,4,2,3,2,5,3,2,3,3,-0,0,104,101
4,3,3,2,3,3,3,2,3,3,2,2,1,1,1,2,1,2,1,2,117,92
2,2,3,3,2,2,2,1,1,2,2,3,3,3,2,2,2,1,0,0,95,79
2,2,4,3,3,3,2,4,3,2,1,3,2,4,2,2,2,2,1,-0,96,88
4,2,4,3,3,3,2,3,3,3,2,4,3,3,2,2,3,3,0,0,106,125
2,2,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,0,0,85,102
4,4,4,3,3,3,3,3,2,3,3,3,1,2,2,2,2,2,1,0,119,78
4,3,3,2,2,1,1,2,2,3,3,3,3,1,1,2,2,2,1,-0,85,105
4,4,3,3,2,2,2,2,2,3,4,2,4,2,2,2,2,2,0,0,97,94
2,2,3,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,-0,-0,80,63
2,2,3,2,2,2,2,1,1,2,2,3,3,5,2,3,2,1,0,-0,65,98
2,2,4,3,2,2,1,1,1,3,2,4,3,3,3,1,2,2,-0,1,84,98
2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,1,83,87
3,3,3,3,2,2,3,1,3,2,2,2,2,1,2,3,2,2,1,-0,104,89
2,2,2,2,2,1,1,1,1,2,2,2,2,5,2,2,2,1,-0,-0,88,97
3,2,3,1,1,2,1,2,1,3,2,2,1,1,2,1,2,1,-0,-0,86,89
2,4,4,3,3,3,3,3,3,3,4,4,2,3,3,3,3,3,0,0,110,128
4,4,5,3,3,3,3,3,1,4,5,5,5,3,5,4,4,2,0,2,94,134
3,3,3,3,2,3,2,4,1,3,2,2,3,2,2,2,3,1,1,0,95,75
4,3,2,3,3,3,3,3,2,3,3,2,3,5,3,3,3,2,0,0,100,111
2,3,5,3,2,1,1,1,2,1,2,4,3,1,1,1,1,1,-0,-0,84,57
4,4,3,4,4,4,3,2,4,3,3,3,4,5,4,3,2,3,-0,1,120,114
5,5,4,4,4,4,4,4,3,5,4,4,3,3,4,3,3,2,1,1,112,101
3,3,4,2,3,3,3,3,2,3,3,4,2,4,3,4,3,2,1,1,98,110
4,4,2,3,2,2,2,3,1,3,3,1,2,1,2,2,2,1,1,-0,114,70
4,4,3,3,2,3,2,2,2,3,4,3,4,3,3,3,3,2,-0,-0,113,103
3,4,2,3,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,0,114,84
5,5,5,4,4,4,4,3,3,4,5,5,5,5,4,3,3,3,-0,1,127,113
2,4,5,3,2,2,2,2,3,2,3,5,4,2,2,2,2,2,0,0,105,76
4,5,2,4,4,3,3,2,3,4,5,2,4,5,3,3,3,3,2,2,110,123
2,2,2,2,3,2,2,2,1,3,2,2,2,4,2,2,2,1,-0,-0,104,110
2,2,1,3,2,2,3,1,2,3,2,2,3,2,2,3,2,2,-0,1,95,99
3,4,3,3,2,3,2,2,2,3,3,2,4,1,3,2,2,2,1,1,101,87
3,4,3,3,3,2,3,1,2,3,4,3,4,3,2,3,2,2,0,1,90,102
2,4,3,3,3,3,2,2,2,3,4,3,4,3,3,2,2,2,1,2,93,100
3,4,1,3,3,3,3,3,3,3,3,1,3,3,3,3,2,2,0,1,87,87
4,3,3,2,2,2,2,3,2,4,4,4,3,4,3,3,3,3,-0,-0,85,95
4,5,3,4,4,4,3,4,4,4,5,4,5,5,5,4,4,4,-0,1,130,131
2,2,3,3,2,2,2,1,1,3,2,4,5,2,3,3,2,2,1,4,99,100
4,3,1,3,2,2,2,2,1,3,3,1,5,3,2,2,2,1,-0,0,115,86
2,1,1,1,1,1,1,2,1,3,1,2,1,3,2,2,3,2,-0,0,87,86
4,3,4,2,3,3,2,4,2,4,4,4,2,4,3,2,4,3,1,0,101,111
5,4,5,3,4,3,3,4,3,5,4,5,3,5,4,4,4,4,1,1,115,99
4,4,4,4,3,3,4,2,4,4,4,4,5,2,3,4,2,3,2,0,115,117
4,5,4,3,3,4,4,2,3,4,4,4,1,2,3,3,2,3,0,0,122,106
2,3,4,3,2,2,2,1,2,3,3,3,2,3,2,3,2,2,1,1,94,114
3,4,3,3,3,3,2,3,3,3,3,3,3,2,3,2,3,2,1,-0,102,92
2,2,2,2,1,2,2,1,2,3,2,3,2,1,3,3,1,3,0,0,95,116
3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,1,1,0,-0,97,81
2,2,2,2,2,1,1,1,2,2,2,2,2,5,1,2,2,2,-0,-0,94,96
2,3,5,3,2,3,3,2,3,3,2,5,3,1,4,3,2,3,0,1,113,101
3,2,2,2,2,2,1,1,1,3,2,2,2,3,2,2,2,1,-0,-0,85,76
3,2,2,3,2,3,1,2,2,3,2,2,3,1,3,1,2,2,0,1,83,88
2,2,1,2,2,1,1,1,2,1,2,1,2,4,1,1,1,1,-0,-0,87,77
2,3,1,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,0,0,97,86
2,3,1,3,2,2,1,3,1,3,5,2,4,4,2,2,3,2,0,-0,76,116
4,4,3,3,3,3,3,5,3,4,4,4,5,5,3,3,4,3,1,1,108,112
3,4,2,2,2,2,2,2,1,3,4,2,2,1,1,2,2,1,0,1,103,84
2,2,2,3,2,2,1,1,2,3,3,3,5,4,4,2,2,3,0,1,96,121
5,5,4,3,4,4,4,4,4,4,4,3,2,5,4,3,3,3,2,1,143,114
2,3,2,3,3,2,3,3,2,3,3,2,3,3,2,3,3,2,0,0,97,107
2,2,4,2,2,1,1,2,1,3,2,5,3,4,2,2,3,2,1,0,85,108
2,3,1,2,1,2,1,1,1,2,4,2,2,2,2,2,2,1,-0,-0,86,87
3,2,1,3,3,3,3,2,4,3,2,1,3,4,3,3,2,4,1,1,101,101
4,3,2,3,3,3,2,1,4,3,2,2,3,3,2,2,2,3,1,-0,106,102
4,4,3,3,3,2,2,3,2,3,3,2,2,2,2,1,2,2,0,0,108,88
2,2,3,2,2,3,1,1,2,3,3,3,3,3,5,2,2,3,-0,1,80,102
4,4,4,3,3,3,3,4,2,4,3,4,3,4,3,3,4,2,1,1,107,142
3,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,1,-0,107,85
4,2,3,2,3,3,3,2,2,3,1,3,2,2,3,3,2,2,1,1,104,94
4,2,2,3,2,2,2,2,2,4,2,3,5,4,3,3,3,3,0,1,99,108
4,2,3,2,2,1,2,3,1,4,2,3,2,2,2,3,3,2,-0,0,106,104
4,4,5,4,3,4,4,3,3,5,5,5,5,3,5,4,4,3,-0,2,112,120
3,4,2,3,3,3,2,2,2,3,4,2,2,2,4,2,2,2,0,1,101,85
4,5,5,4,4,4,4,4,4,4,5,5,4,4,5,4,5,5,2,0,119,148
4,4,1,3,2,2,2,3,2,2,3,1,2,1,2,1,2,1,0,-0,94,76
2,1,2,2,1,1,1,1,1,3,2,3,4,2,3,3,3,2,-0,1,73,97
4,4,3,3,3,3,3,4,3,3,3,2,3,2,2,2,2,2,1,1,94,90
4,4,3,3,3,3,3,1,3,4,4,3,3,3,3,3,2,3,1,0,107,111
2,3,5,3,3,3,3,3,4,2,2,5,2,3,2,2,2,3,2,-0,107,71
3,3,2,3,2,2,1,3,1,3,2,2,2,2,2,1,2,1,-0,0,106,85
